,dist_kilometers,vendor_code
25141,7.231,97
58767,4.259,97
74362,16.526,42
54931,13.864,97
34871,2.691,2
87044,9.083,77
66215,8.391,80
8180,4.864,97
4130,17.476,97
67404,5.676,97
81288,0.696,97
38078,13.683,66
63240,11.118,0
40993,2.606,97
87905,10.85,71
81636,2.056,97
53820,12.92,97
85707,3.439,58
81802,1.459,97
82444,4.093,0
79784,1.818,81
73712,4.601,75
29374,2.695,80
72738,6.926,0
37253,2.709,105
54180,2.289,97
27785,3.228,81
68676,8.17,0
57435,11.74,0
78281,8.041,97
7437,5.57,30
64533,14.302,97
3504,0.537,97
42577,8.809,0
17353,2.863,97
68943,2.473,0
62961,1.834,97
67136,2.17,80
11781,12.521,97
20198,2.936,71
17948,3.835,71
15382,6.036,97
4719,10.577,97
19942,8.55,97
79766,1.048,80
24296,1.03,81
80077,9.176,80
18487,12.791,97
77126,0.062,97
6938,2.403,81
45056,3.663,97
14210,6.178,39
73069,0.111,10
77659,8.104,0
68216,1.649,97
37705,10.291,97
65125,7.213,97
31635,6.435,97
54144,2.484,81
45826,3.093,97
24519,0.144,97
47079,10.122,97
88525,8.893,71
86255,6.969,0
71045,3.487,20
81741,1.741,97
88949,6.304,20
21777,13.339,97
72321,0.877,80
44570,3.6,97
35938,4.125,71
34370,1.28,10
77857,4.005,97
27517,3.804,97
29668,4.556,108
36514,6.616,80
86497,4.23,0
67935,3.203,97
57307,2.783,97
28244,7.549,71
746,6.149,71
36914,9.404,117
34996,9.15,21
23071,7.641,80
59817,0.75,81
21253,4.45,97
17002,0.063,97
19207,7.617,97
63304,4.14,105
32335,1.648,80
78836,2.156,97
74183,11.885,0
36460,0.033,97
66971,3.716,134
36117,3.143,39
67678,4.026,97
81088,0.528,80
15703,0.037,0
33214,1.441,76
82500,8.077,80
55637,0.938,80
36446,6.375,97
41427,10.068,97
82209,8.804,80
87021,9.038,97
8648,1.897,97
53280,0.847,97
55110,6.18,0
62196,0.173,97
44964,2.856,97
16004,0.656,97
5562,5.039,81
82703,1.304,97
8379,10.721,0
87454,5.79,71
75060,2.069,97
39509,4.975,0
32504,1.264,71
89757,4.825,97
1987,1.418,64
45297,10.77,64
74392,0.095,76
75721,1.007,97
76649,4.263,71
32197,1.816,97
31765,6.375,97
19247,5.475,81
49429,0.671,58
21663,5.587,97
85674,2.387,81
55556,0.072,97
26483,6.273,97
71740,6.288,80
47369,1.098,80
3024,1.57,97
33996,3.342,97
79907,2.084,97
81024,4.797,97
21018,3.363,64
54770,4.103,97
10113,1.228,97
61305,7.545,0
63484,1.262,39
52027,5.724,97
78700,4.668,97
51312,6.971,97
2560,5.305,97
23858,3.065,97
83931,2.807,97
21640,9.256,79
56060,0.412,97
65817,0.096,80
32352,6.659,97
6327,10.754,97
18020,9.698,97
46127,2.339,97
81952,0.031,39
63822,0.391,127
9053,5.715,97
50964,2.568,97
25490,5.846,97
60287,5.61,71
74474,0.495,97
53617,1.516,97
36131,0.114,75
81332,1.037,80
52,4.625,97
24171,4.7,97
71612,8.856,79
12278,6.126,80
87498,10.22,97
60871,10.509,0
88447,0.32,6
49002,2.762,71
84872,1.775,97
4922,4.942,0
6603,3.295,64
47435,17.554,71
73023,1.667,71
49721,5.795,80
37343,2.761,97
6950,0.435,97
12386,1.887,115
2581,4.194,0
14941,10.099,97
88456,4.83,0
39048,0.32,71
31792,2.413,97
65692,0.994,71
22017,2.638,97
62354,5.303,66
63779,0.067,97
3747,10.801,0
36781,4.519,71
33034,5.274,97
24907,4.023,115
51287,17.801,42
57573,6.872,106
49405,1.126,80
44682,2.435,97
71327,3.26,30
65638,0.335,86
7323,2.632,0
85581,4.075,66
1326,12.608,0
890,3.194,97
33635,3.687,97
86730,0.022,97
5839,2.058,10
73887,3.73,71
20250,0.094,39
45610,6.562,97
63242,5.158,0
25612,1.388,97
39473,9.189,0
73457,1.367,97
25574,7.225,71
59922,7.937,97
64524,8.93,0
24334,1.372,97
41775,0.496,97
60988,1.946,97
69642,1.787,64
80981,2.27,97
73663,11.08,0
8576,2.282,117
30365,2.629,80
66804,0.742,71
2833,6.201,0
52789,3.543,97
27182,17.302,117
81423,8.419,66
14984,4.728,97
43882,17.354,97
5200,4.598,0
61889,3.317,97
9262,1.495,42
28686,0.637,48
24427,2.419,0
6017,13.964,43
18008,0.607,39
77025,6.876,81
63384,5.125,71
4806,5.024,0
89275,11.612,0
47569,1.23,71
82022,2.422,80
16569,12.022,0
736,4.222,39
48981,6.627,97
5997,0.281,0
63985,3.006,97
34910,9.96,39
56874,7.868,97
63343,2.149,81
84291,15.508,39
18246,4.106,97
29317,15.621,80
12874,0.99,7
2541,2.837,66
77406,4.482,97
60494,18.617,0
55912,0.353,80
69517,1.952,71
12480,4.304,97
67748,9.822,97
13368,5.77,97
16058,11.263,0
9066,0.623,39
51711,0.863,97
75759,4.336,97
37487,7.317,10
35442,0.065,81
54840,0.836,80
67519,10.293,0
33179,1.365,97
83670,0.225,97
73200,1.394,80
57623,3.065,81
17390,5.588,97
35569,8.614,71
7464,11.316,97
73855,3.712,71
59384,3.623,38
16455,3.492,80
51986,1.538,38
80250,0.812,81
25898,5.194,20
78193,5.88,0
31816,7.756,20
46448,1.761,97
47523,8.67,71
58519,3.3,71
64949,1.225,97
44699,1.338,97
75229,11.365,81
32343,6.952,0
41587,0.389,97
24830,1.03,80
79906,0.478,81
30604,2.133,0
34241,0.045,71
57821,3.356,80
72616,9.206,97
5288,0.301,97
55378,2.877,99
37536,3.727,10
28450,4.374,97
40631,6.552,52
33329,2.98,71
30337,3.985,66
54420,5.302,39
54930,17.052,36
78654,3.142,80
9861,18.419,3
44316,2.389,97
65152,1.962,10
87640,2.62,0
19301,4.056,71
70048,8.59,80
84670,6.873,64
8017,6.996,97
43179,12.471,71
53706,17.831,76
42074,0.997,64
7368,4.228,80
574,5.122,71
47821,5.021,97
43727,0.027,38
75240,5.654,30
28097,0.078,79
29160,3.166,80
85386,0.75,97
75221,1.422,97
49760,8.99,71
5736,12.251,71
76999,13.468,97
2578,4.207,52
12836,7.803,97
14772,7.662,10
63535,0.033,97
34723,0.437,105
78594,10.665,97
10779,6.937,10
2012,13.516,66
50450,2.952,97
57016,0.036,97
63841,1.176,66
65499,5.804,66
66852,0.415,39
86001,17.605,80
50025,3.326,97
84522,0.282,80
66964,13.588,97
59062,5.728,3
88479,12.128,71
22137,5.049,97
65052,1.878,97
19596,0.293,97
88197,0.412,97
86754,2.438,80
32763,2.153,0
66876,6.622,66
75383,5.106,0
66457,8.411,0
25504,9.35,71
79323,0.061,80
73433,4.248,81
45428,3.535,115
24337,9.552,31
37758,6.082,81
52765,13.736,97
84060,2.222,97
44810,4.375,97
88920,3.271,71
20088,0.183,97
44587,10.964,97
63041,11.49,39
69422,3.928,97
38870,5.627,97
645,12.1,39
12720,1.738,97
3144,0.251,108
54164,1.709,71
49222,6.685,72
48485,2.253,97
88592,0.055,97
64197,6.636,67
40709,16.656,79
41346,1.136,97
32137,1.552,66
71828,10.465,97
33556,4.173,64
35835,7.495,71
12335,0.391,81
14954,4.899,0
57680,6.036,20
43446,2.994,97
54371,2.492,66
53638,10.36,71
85978,0.173,97
57947,13.402,0
42417,3.805,80
31655,9.993,39
27270,8.77,97
14516,10.777,85
11618,0.117,97
62428,0.666,80
49241,0.041,108
25039,5.089,81
40295,2.632,0
6879,1.321,71
65413,8.056,68
4437,5.919,0
19036,2.042,63
76419,0.05,3
30410,3.169,71
31148,1.649,97
85110,7.175,71
1717,0.09,79
71333,11.14,0
87923,0.565,0
77164,0.275,80
52545,9.339,66
62463,4.308,43
34502,5.861,97
79639,0.1,10
88473,1.362,80
7702,1.601,97
19400,0.455,71
79728,3.227,97
15735,5.903,39
84759,2.155,97
48103,4.282,97
7997,3.484,80
75563,5.858,71
18586,0.027,61
35530,7.777,97
17601,3.303,97
24067,1.203,97
45818,7.914,97
47930,7.196,39
68363,7.074,97
7791,1.589,64
28604,13.952,97
43499,2.408,84
34321,5.356,97
58031,0.181,38
62349,4.404,97
77609,1.3,81
28004,7.53,97
33303,14.266,71
25150,7.805,0
29055,2.237,80
52074,12.697,97
22275,5.934,71
61049,0.23,0
16888,1.459,0
60481,8.025,0
17411,6.206,0
57684,2.724,72
20567,4.042,97
83302,2.541,80
51131,0.024,38
19801,5.814,64
54459,11.972,81
65262,11.879,10
38718,2.648,108
29708,5.765,80
3425,8.571,97
78297,3.362,97
82808,1.054,80
22968,6.614,71
21440,4.017,97
24349,0.375,97
75111,1.633,71
59111,7.198,71
77538,10.33,97
33377,6.306,64
62783,11.952,80
76869,2.182,97
58727,3.149,64
37878,17.959,86
38027,2.036,97
11102,8.218,0
20553,2.225,97
19605,1.703,97
72031,8.081,99
46846,0.175,39
61572,3.003,0
5090,6.934,10
51597,0.038,97
77259,9.462,81
12373,0.267,80
55845,2.605,97
73456,1.504,97
30804,2.089,81
60086,7.125,71
4599,4.087,97
68951,4.638,89
79922,3.822,97
63063,7.116,71
39607,17.575,71
69062,0.944,71
74645,2.172,134
6990,8.739,0
43868,5.583,89
29031,2.022,97
52944,9.513,71
20320,13.515,97
954,0.131,71
68924,7.942,0
15051,11.189,97
44719,1.907,115
13236,2.854,80
54094,2.988,0
51065,5.424,97
13151,11.255,49
82543,0.304,97
28050,9.098,71
15886,11.624,97
53031,5.623,97
12950,8.435,21
57245,0.376,77
15053,0.027,10
3131,5.098,75
71209,0.044,9
81919,1.93,80
869,4.233,71
22812,3.394,80
4237,0.032,97
68214,0.047,52
17324,4.786,97
77563,7.797,71
28657,2.664,97
72279,4.211,97
27607,8.288,97
14075,6.117,0
53798,1.888,75
31640,0.095,97
11809,8.326,0
23282,2.03,64
19477,2.097,97
51342,7.347,81
47281,7.232,39
75347,11.015,0
85465,1.904,64
3364,5.038,64
86981,10.324,0
59770,5.269,71
51427,3.255,81
16944,0.03,97
48851,0.023,68
72925,6.761,80
36561,2.893,97
84455,4.026,71
68241,5.907,97
87869,7.144,0
90214,5.64,97
71724,0.042,97
42264,1.21,97
9655,0.238,131
67709,0.123,97
20466,4.234,81
20692,11.152,0
88624,3.433,22
89793,0.28,10
3247,5.826,80
70654,0.162,97
85848,4.245,97
5921,4.964,0
67532,2.182,97
83883,1.749,97
21340,0.085,67
22124,1.87,97
48671,4.894,38
59626,2.283,97
45236,2.427,0
35976,1.454,80
40726,8.588,97
47029,11.773,39
66319,3.689,97
4986,6.642,0
60072,9.572,97
58223,3.76,66
89340,4.103,43
9892,6.673,31
12397,3.165,58
84888,2.64,64
42202,1.107,80
45874,4.12,97
72782,6.694,71
58353,2.509,97
6309,3.457,97
59209,3.941,97
54755,1.075,80
18105,14.199,9
81514,5.138,58
47190,9.833,0
60195,1.068,64
49686,1.894,97
32082,0.181,80
36243,0.612,97
15777,2.884,97
38730,2.666,97
34320,4.105,71
77534,2.212,97
32066,2.47,80
56581,9.693,71
19784,9.51,97
23341,8.283,97
75204,8.831,81
87245,8.584,97
49939,8.739,0
48457,3.098,0
66172,2.238,97
84606,1.31,64
73014,1.677,0
1834,14.628,66
57832,6.082,0
69887,2.601,97
50041,6.834,30
16234,3.897,80
81150,2.342,134
67607,2.965,97
75474,1.322,97
73283,0.097,63
42153,1.253,80
65311,9.791,97
50678,9.174,81
7412,4.016,64
19349,5.852,79
13823,4.218,64
42692,7.647,0
8902,11.888,66
6880,3.056,80
15012,6.638,71
87078,7.349,81
67265,3.823,71
88330,10.677,0
33061,3.656,97
47372,1.459,97
53297,0.1,80
86116,13.681,0
82860,6.73,0
31183,6.802,64
83262,5.665,81
15807,8.575,10
72172,0.647,97
77116,10.542,71
36897,2.523,97
76339,0.276,80
27659,10.257,0
63567,8.577,80
51401,3.109,81
13354,0.613,97
34992,0.084,86
70981,0.091,97
19590,8.326,97
33458,4.094,97
51293,3.582,126
7483,3.76,97
54065,3.007,97
12696,1.089,97
57040,1.713,97
89005,0.427,97
86875,5.753,10
60520,11.719,0
89022,4.44,97
59979,7.848,97
33053,4.15,97
78770,4.734,97
23248,5.58,97
45142,10.111,72
69639,7.123,71
58836,11.148,49
66011,0.037,38
29228,6.553,97
79746,3.468,80
75458,9.291,30
28382,11.893,1
49626,7.758,76
80851,16.726,97
22008,2.474,71
89650,10.147,97
17580,4.479,97
88908,1.586,97
25486,0.435,64
64000,3.258,89
85370,6.051,97
66974,11.05,38
44946,0.102,21
36626,14.46,81
64202,2.461,0
6272,2.371,97
89442,9.899,43
82436,1.119,97
25002,4.655,97
11071,7.594,97
84794,0.026,71
69641,3.887,64
82859,1.691,97
30373,1.151,71
24085,9.135,97
33102,7.784,0
1779,3.222,105
76523,5.85,97
3164,0.94,10
24668,3.729,31
63290,5.154,71
3660,2.943,71
63318,7.474,71
66190,2.313,97
22273,1.32,97
58197,10.848,0
845,0.671,97
48316,2.925,97
33933,1.503,0
9074,11.657,0
19712,4.728,64
71102,9.695,0
16305,5.926,0
18632,2.179,97
30391,13.496,66
47804,3.841,0
20163,6.254,97
35635,2.315,71
19734,5.064,97
70858,2.664,97
17092,6.002,97
17775,2.837,97
75604,4.441,97
12070,17.944,97
36643,3.875,97
35017,2.345,97
35297,7.257,0
33134,4.666,86
88629,5.879,97
19125,7.25,81
61269,7.929,97
10936,2.788,71
54904,18.667,97
41111,0.114,0
9445,7.553,97
83238,3.875,20
41097,8.172,0
17510,2.264,97
9340,13.87,81
27621,0.376,21
53713,2.713,86
68560,4.0,80
21721,5.154,97
42168,2.199,64
43585,5.291,71
57525,17.336,10
57789,6.062,71
61900,0.075,97
12045,1.504,97
49202,3.016,71
16958,1.121,20
26149,2.049,97
63738,10.668,97
24310,2.832,97
86458,2.174,97
77527,8.277,0
19705,1.93,3
66842,11.719,0
53717,13.727,71
84914,5.09,64
19299,1.985,97
36573,2.769,81
30725,2.029,126
48667,6.041,66
42058,1.828,64
7872,7.892,97
89113,12.089,43
37177,12.895,97
88293,7.208,71
72849,6.16,97
22459,3.324,81
68699,8.835,0
65252,1.092,97
55015,3.776,39
66167,1.886,97
43489,4.949,97
38113,5.358,97
27655,4.802,97
1761,4.993,71
86952,3.791,97
79709,1.661,97
55720,1.857,97
35055,2.507,64
77187,0.063,39
5106,3.277,0
10166,2.473,81
75438,1.937,86
9760,6.883,97
66170,1.894,71
86026,9.788,0
49922,6.236,76
89301,1.177,86
15086,11.417,71
16670,4.068,10
65934,14.62,0
24888,7.485,0
1009,5.048,71
8408,4.524,0
44378,2.697,97
50523,3.012,40
33627,6.273,97
78361,6.166,97
37965,2.137,81
82863,1.685,80
74262,4.405,10
54336,6.373,81
64385,8.414,0
6605,2.068,30
81782,12.898,97
33195,1.156,81
37614,7.941,97
35155,4.927,97
3174,7.18,2
32615,3.697,68
81781,4.2,64
55122,11.535,0
47889,0.023,86
60363,9.079,71
11269,11.724,120
74815,5.102,97
31342,5.571,71
62561,10.867,0
68554,10.101,0
51944,17.036,0
68444,9.318,97
69488,15.594,10
33542,3.889,63
50788,6.927,2
16759,6.496,97
86839,2.42,97
12132,0.845,66
37434,8.091,39
30666,10.102,80
81816,5.133,126
88134,8.659,89
57166,1.874,66
55860,11.731,79
56759,1.61,117
21140,4.358,10
14501,2.306,97
880,8.75,97
78178,3.236,80
73761,7.069,97
31476,9.834,52
78509,1.458,97
39029,4.165,71
18782,4.028,66
49274,5.96,1
17177,0.118,10
76144,13.391,79
76803,5.633,97
8104,16.114,71
9328,3.975,80
59164,2.462,10
59776,3.619,71
87306,3.79,97
29758,0.056,97
20749,6.71,97
84132,3.573,71
65041,3.286,71
50376,7.61,0
5119,4.03,97
86554,2.738,64
69723,10.139,116
86400,3.379,97
84431,5.335,64
12908,4.476,21
820,1.809,10
37862,6.254,71
51905,5.556,30
3378,7.282,79
7773,10.294,97
58943,2.91,64
82110,1.115,97
2396,1.827,39
77592,4.351,97
34478,0.098,61
88894,8.35,39
12733,2.317,80
22268,7.041,71
75501,4.012,97
20053,11.242,71
38957,5.721,71
67332,3.85,134
68594,0.249,97
48381,17.834,97
14304,3.566,71
44877,0.049,87
25886,2.797,97
50814,6.902,2
77002,14.944,9
7881,3.018,97
70348,0.376,80
56231,0.105,97
71937,17.587,0
84255,3.32,97
73900,0.072,97
66720,3.077,97
9911,1.086,97
10130,6.012,71
8772,0.026,38
479,8.05,39
2354,2.863,97
24564,0.303,97
42281,6.309,19
26617,10.95,97
70962,4.057,0
20106,0.36,71
55915,0.163,97
21708,4.177,10
45870,13.646,79
21407,4.976,80
43969,6.086,97
79697,0.747,20
32427,2.425,97
44164,1.857,80
53151,1.125,71
84555,1.832,71
41036,8.498,97
85278,0.289,10
1106,0.039,81
25914,4.759,0
1953,2.465,97
85763,3.84,97
34209,4.244,97
84366,13.084,39
74309,6.821,76
3135,0.886,93
8337,2.704,117
85315,2.651,71
62263,7.516,71
41075,3.425,80
63380,6.101,97
23469,1.168,64
42476,6.672,97
81258,3.145,97
74310,5.987,31
87059,3.662,97
56647,10.185,97
22704,0.392,97
59795,3.584,97
34789,6.719,79
20926,7.549,79
85837,2.263,97
61541,9.065,71
19987,4.715,97
32280,14.884,97
53598,14.661,3
56177,0.082,99
20756,5.938,97
28730,0.059,97
71372,2.117,97
1480,14.231,108
63939,6.152,97
6282,9.893,71
46687,14.356,126
80253,0.462,97
69383,0.686,80
83365,0.868,80
79876,0.066,97
81025,1.052,80
62771,9.681,80
57783,10.553,97
81810,6.485,68
30909,3.415,64
84258,5.832,71
44618,3.133,97
80039,1.355,80
32792,6.124,1
76173,3.83,6
73193,6.874,80
67234,1.091,97
11926,1.66,97
46025,4.051,21
45354,0.086,73
30344,0.124,97
70813,1.5,97
13487,3.938,97
5560,2.42,71
74455,4.263,80
16911,7.24,97
65945,4.702,97
70163,0.037,97
19574,2.585,97
71285,7.734,80
74720,7.005,97
50813,16.101,88
87541,8.484,115
43610,7.2,71
54531,4.414,80
16263,8.337,0
82304,0.022,84
82571,6.363,80
52075,1.825,97
68446,10.359,0
68827,1.427,97
51294,2.471,97
32609,10.256,97
59054,7.579,97
2133,7.922,49
76119,3.987,3
73061,1.941,97
24150,0.021,10
34917,2.669,81
54464,0.821,71
22788,4.713,80
26961,17.086,97
45960,0.072,61
41160,6.36,97
33851,2.305,97
49065,1.032,97
8845,8.151,97
27832,10.108,97
21268,7.208,97
64331,1.066,97
44366,1.668,97
10421,0.633,79
57477,2.927,0
21868,1.026,71
56460,5.174,71
64286,2.861,80
8406,5.4,67
90217,0.121,0
55977,9.836,0
21326,2.382,105
38473,3.225,97
83835,2.504,97
81027,1.951,97
62078,6.767,97
70779,3.747,81
86648,15.469,10
84713,11.785,97
48072,0.815,97
13194,7.365,80
4091,14.295,80
31320,0.053,84
52264,3.912,40
76254,0.044,10
32506,0.045,80
56907,0.474,81
23036,4.68,71
54639,3.544,64
33106,2.254,80
73601,14.464,43
45807,6.244,97
38603,17.185,3
42939,3.732,97
27089,5.217,97
85223,6.742,71
71600,2.538,79
20855,2.308,97
50804,2.938,105
15221,0.21,39
3181,6.052,97
35347,9.717,81
63991,6.33,71
2303,5.288,105
32443,7.863,1
8547,4.399,66
79291,5.307,97
59457,1.95,97
86239,11.444,64
56906,5.228,71
83700,0.053,97
54822,0.119,97
48669,8.866,0
41329,2.07,80
58509,5.346,97
86484,0.341,80
25306,5.959,97
49878,5.38,67
5375,4.61,0
90218,0.03,0
57263,4.932,97
83304,1.916,97
45642,2.026,97
3619,4.27,71
76946,0.564,31
62186,0.054,80
74492,7.457,97
44292,3.113,105
3874,8.379,86
47221,0.115,97
75823,12.078,71
58549,4.218,80
29607,1.123,80
65335,4.485,49
13422,10.633,77
38098,0.488,81
25769,11.88,97
37058,3.079,97
70114,0.037,33
17396,9.538,0
14090,7.45,10
18879,3.232,81
2845,5.236,52
74607,3.7,97
3546,0.15,88
14380,3.097,97
77401,5.854,97
84074,0.437,10
79074,10.259,0
12208,1.515,71
22717,6.177,0
57826,1.302,81
2752,5.19,64
77780,1.813,97
71393,4.374,97
81976,6.092,39
55316,0.775,80
49146,7.82,97
33772,4.415,97
45340,2.063,97
66128,5.73,80
69200,11.96,71
87472,9.631,97
54443,1.343,66
788,4.517,71
5152,6.794,52
5198,0.132,80
52270,1.311,40
5141,4.904,97
34680,3.927,79
56461,1.641,10
65408,0.656,80
68173,0.037,80
31207,6.68,79
298,2.936,97
67405,16.557,97
45699,3.717,80
80732,1.423,80
27364,0.202,10
44655,1.177,97
10202,1.453,117
2081,2.699,64
42036,6.733,0
89436,2.535,80
50541,2.744,71
13170,11.702,49
15005,4.644,97
58190,5.491,97
60380,18.634,97
62356,7.141,97
67008,3.246,97
29445,3.907,97
66810,3.576,81
85934,0.024,72
59146,5.376,71
48597,3.357,97
27352,6.158,71
57089,2.074,72
41779,6.076,75
79459,2.845,97
70102,1.716,71
68170,1.882,97
28194,1.515,61
62018,4.34,97
7187,1.328,64
37881,2.544,97
69214,5.936,97
16029,5.721,97
53350,4.039,97
87559,8.167,0
45072,10.175,0
73905,7.682,0
10174,3.686,97
71169,1.041,97
25879,2.645,97
24351,1.341,97
45024,5.418,97
76807,9.96,97
72041,2.728,81
16158,12.005,52
69860,9.856,80
53686,8.755,71
23431,0.813,97
88518,7.718,0
49770,8.427,97
60410,7.884,0
59758,6.91,72
60523,5.655,79
72927,0.043,13
25493,4.722,0
89723,1.883,80
72356,3.483,80
50313,6.383,105
73071,2.511,71
14343,3.107,105
85923,0.737,75
3680,7.178,64
55928,2.387,80
72829,1.943,81
86724,8.451,17
62213,12.394,0
4845,10.327,43
31198,0.022,97
85712,4.319,97
28444,0.849,48
70122,0.037,22
13846,3.999,79
37763,8.822,105
86553,3.281,97
86481,3.798,71
48192,8.843,97
54106,3.977,0
76678,4.659,0
70377,4.35,81
33143,10.783,71
87018,0.021,97
8449,2.339,97
5539,0.133,0
27325,5.538,71
24345,0.648,99
4949,4.409,97
86031,6.393,97
25171,4.47,64
32972,5.631,97
71970,10.953,0
43032,3.551,97
42121,3.197,64
70658,12.739,97
37970,4.982,71
6824,0.046,0
56776,1.906,97
81760,5.577,97
28946,0.234,97
85220,9.743,97
61679,10.697,79
39500,3.46,97
83690,9.862,0
83194,4.44,115
11747,4.758,0
83503,3.202,0
31902,4.336,1
22366,7.34,71
57490,7.82,0
79602,14.199,79
76546,1.447,3
47810,2.14,97
38685,5.353,97
1853,3.893,97
36058,8.06,97
60469,2.412,80
63712,3.851,97
32636,3.408,97
42644,0.028,38
33263,1.411,64
6123,1.186,64
49639,1.495,10
72316,5.343,97
56261,1.556,72
7612,3.399,79
39378,4.776,97
76867,3.489,3
81186,1.815,10
15384,7.07,0
70478,4.488,97
5220,6.119,0
10669,3.767,79
50681,4.514,80
5231,7.481,0
28090,0.361,10
11929,6.703,117
36675,5.466,71
83956,2.133,97
42937,1.942,97
20920,8.425,71
78258,9.116,81
14671,0.11,97
85794,0.098,71
114,8.263,71
15344,0.094,39
34099,4.876,97
57607,5.089,97
2895,12.273,126
66571,4.64,97
23083,3.097,97
38806,6.99,10
50943,10.669,97
52394,7.238,79
83538,0.052,75
77320,6.525,80
89025,4.715,81
49673,15.905,66
69417,3.323,134
32752,8.882,0
84045,0.708,97
28140,1.821,81
62185,3.642,89
31290,4.564,0
7785,0.038,84
81552,12.946,0
82660,5.007,71
43273,4.572,97
18725,0.131,20
82760,2.936,80
46973,9.957,97
70824,10.717,0
21485,0.034,80
28210,7.458,97
56588,4.633,71
23210,13.931,97
8604,8.097,97
3357,5.483,97
1483,0.162,38
46888,1.433,97
12300,5.106,83
34828,9.115,97
87017,2.402,97
18807,3.581,97
30169,6.604,97
49370,0.307,71
53095,2.884,81
75804,10.35,71
79903,1.266,80
61769,3.459,97
86897,7.386,99
23204,11.906,30
16754,16.067,61
48688,3.666,64
59778,2.856,71
8770,1.363,66
17037,4.669,0
49885,8.695,80
4916,7.617,66
34880,2.287,97
67141,12.51,0
52093,0.723,97
89383,3.125,72
13327,3.421,97
11282,0.046,97
13862,12.405,94
72038,3.532,71
2229,3.433,64
41104,10.926,97
80756,3.202,71
69413,8.213,0
40046,13.142,97
52665,1.734,97
18164,4.212,71
42556,3.505,80
38106,0.024,97
65613,6.841,20
38331,12.962,97
86766,5.233,71
86296,1.579,97
53346,2.631,64
22819,0.092,97
64103,0.954,64
71557,3.216,80
76440,13.285,97
75091,4.538,30
38458,1.989,97
89390,1.99,80
40524,0.864,66
33560,13.476,3
49410,3.845,80
29487,1.554,71
54991,4.019,71
69567,4.119,0
11003,1.689,97
13483,0.662,51
82536,4.118,80
72936,2.244,97
10913,1.261,80
55358,3.848,97
85427,7.902,0
15949,4.316,97
72490,4.298,97
16708,0.67,97
49074,0.116,97
37631,13.375,0
54503,0.069,0
30723,7.367,115
8516,3.271,80
54848,1.521,80
82424,2.481,80
13596,2.403,80
38683,0.525,97
32905,1.988,81
21717,3.273,97
45273,0.039,84
53526,3.812,0
26420,6.13,0
20746,8.585,71
89118,8.11,97
40377,4.915,0
12579,8.924,97
14608,4.904,97
28936,3.404,80
50779,5.463,71
31493,5.794,115
34758,3.51,80
71616,3.882,97
67782,17.577,71
56986,5.213,10
28725,3.38,122
90065,0.194,71
55768,6.138,0
67065,1.664,80
1799,0.545,80
46130,6.748,97
45736,17.175,71
87202,2.669,0
18081,0.834,76
56916,9.592,0
6291,6.552,97
66509,0.491,97
73459,12.969,0
26003,13.798,97
49096,10.54,106
9359,9.283,97
79314,1.339,80
31031,1.605,97
64936,2.284,97
2057,2.905,64
48731,8.392,0
79257,10.39,105
16104,2.634,97
43822,7.332,0
46520,16.182,81
15180,11.882,39
68094,11.188,0
35374,1.709,0
32565,11.474,97
19094,2.129,80
20986,18.665,39
52716,0.974,71
14580,7.045,71
51863,1.421,97
82701,4.943,39
69499,9.068,20
35863,2.333,0
59048,0.535,31
67690,14.975,97
25144,0.477,97
83412,2.171,80
67833,3.46,97
22494,6.056,20
14109,4.942,97
63559,2.92,97
50871,3.866,71
31541,8.389,61
41082,4.337,64
77868,4.337,80
88710,1.019,97
5652,3.03,0
72755,1.93,0
86139,1.771,0
49708,4.332,64
75397,3.906,97
6352,4.222,0
15339,6.075,71
16608,6.783,0
72781,2.416,97
11730,2.95,97
82339,4.655,97
14807,5.734,21
35897,2.606,71
37918,5.399,97
88504,5.672,97
68553,1.41,80
81728,0.359,71
46765,3.151,12
78073,3.6,80
45007,1.304,97
78369,14.771,48
70781,5.482,97
86729,7.77,97
25931,0.051,39
44367,7.456,31
27681,5.824,97
51993,1.744,64
36694,5.517,81
3287,1.565,52
23002,6.524,71
72071,12.419,0
21859,1.728,63
77593,7.624,81
60235,1.986,97
83771,0.22,66
54241,5.135,79
35037,5.758,97
82590,2.338,20
53829,12.86,71
71709,11.35,0
81753,1.417,58
50873,7.508,80
9576,0.031,97
57321,11.118,97
3631,1.841,71
74586,3.703,71
38658,8.335,10
61429,16.234,97
49752,8.318,97
77789,0.28,80
72757,1.837,97
79524,2.809,0
42484,3.461,97
35003,14.236,42
48351,6.538,66
80803,8.059,97
9181,1.477,97
26029,3.738,97
13639,4.441,58
70563,3.922,97
71314,3.884,0
73652,11.991,0
48538,7.138,71
7607,15.128,0
26156,1.925,97
836,1.595,96
32525,4.369,97
14033,3.95,97
61525,3.356,97
54399,2.426,97
58561,6.814,0
18944,1.326,80
70815,8.029,97
87735,1.379,21
59682,3.196,97
42621,0.034,71
28030,12.884,71
57206,7.613,97
62669,7.113,0
11417,4.052,97
76299,8.211,71
4387,6.972,71
11935,0.253,117
4311,4.006,52
43187,5.284,80
69559,6.29,97
57395,6.25,99
13084,5.09,81
59284,2.068,97
54264,11.793,80
21596,3.729,97
14397,4.001,97
16315,0.028,97
72440,16.289,97
28745,3.959,58
18390,10.188,71
14464,5.925,81
31132,4.792,97
32325,5.661,97
27301,5.378,71
